,Name,Team,Points,PointAverage,FangraphsId,POS
88,Vinnie Pasquantino,KCR,439.57018,3.3300518935462606,27676,1B
89,Matt Chapman,SFG,438.95153000000005,3.17984041088944,16505,3B
90,Bryson Stott,PHI,437.78001,3.123140761772952,26294,2B
91,Eugenio Suárez,ARI,434.41684000000004,3.08217276242506,12552,3B
92,Nolan Gorman,STL,434.035384,3.3513916716212777,22263,2B
93,Christopher Morel,CHC,433.97947,3.3683597485253025,21897,OF
94,Steven Kwan,CLE,433.31198,3.089304159358914,24610,OF
95,Luis Arraez,MIA,432.33259999999996,3.018787269401036,18568,2B
96,Carlos Correa,MIN,432.20726800000006,3.1858420963402505,14162,SS
97,Andrew Vaughn,CHW,431.79075800000004,3.018312686551515,26197,1B
98,J.P. Crawford,SEA,431.7182600000001,2.9714653653433185,15491,SS
99,TJ Friedl,CIN,431.35441,3.3148979450686253,19522,OF
100,Josh Bell,MIA,430.74378399999995,3.0580652727982676,13145,1B
101,Jeimer Candelario,CIN,430.33978999999994,3.218384076342614,13621,1B/3B
102,Taylor Ward,LAA,430.09125,3.3811939371545825,17548,OF
103,Jarren Duran,BOS,429.89348999999993,3.308272653815075,24617,OF
104,Daulton Varsho,TOR,429.42095000000006,3.0928749945981764,19918,OF
105,Alec Bohm,PHI,428.56174,3.0287690905107523,21618,1B/3B
106,J.T. Realmuto,PHI,428.4013,3.229609945117906,11739,C
107,Thairo Estrada,SFG,427.69726999999995,3.224205213641709,16426,2B/SS
108,Jeremy Peña,HOU,425.61596,2.9620430092560373,21636,SS
109,Josh Lowe,TBR,425.37207,3.374361970490243,19953,OF
110,Jung Hoo Lee,SFG,424.58457,3.151841511394848,sa3012640,OF
111,Will Smith,LAD,424.00903999999997,3.38816914914019,19197,C
112,MJ Melendez,KCR,423.83901,3.198543581616482,22197,OF
113,Christian Encarnacion-Strand,CIN,421.04557,3.3734652394420364,30011,1B
114,Isaac Paredes,TBR,420.42526699999996,3.181376498274714,20036,1B/3B
115,Chas McCormick,HOU,419.51508999999993,3.2365246607364657,19599,OF
116,José Abreu,HOU,417.37867299999994,3.0447816822293543,15676,1B
117,Kerry Carpenter,DET,416.97094000000004,3.2373771535493288,25961,OF
118,Edouard Julien,MIN,416.49471,3.1453028289205394,27534,2B
119,Jack Suwinski,PIT,416.39043,3.2889719751662687,22244,OF
120,Jake Cronenworth,SDP,415.93621,2.990690121299712,18036,1B/2B
121,Jordan Walker,STL,415.26503,3.1422336481128363,27475,OF
122,James Outman,LAD,413.84945,3.173521743464691,24770,OF
123,Wyatt Langford,TEX,409.8571400000001,3.4478572930774867,sa3022654,OF
124,Ryan Mountcastle,BAL,409.74172999999996,3.1963377304178917,18373,1B
125,Esteury Ruiz,OAK,409.13857,3.330662406382286,21780,OF
126,Ty France,SEA,408.485888,2.8256991028008933,17982,1B
127,Jorge Polanco,SEA,408.16295,3.2599312333274764,13152,2B
128,Bryan De La Cruz,MIA,406.87618,2.9464991889230054,19600,OF
129,Lourdes Gurriel Jr.,ARI,404.26434,3.0978110344827585,19238,OF
130,Tyler O'Neill,BOS,401.97333999999995,3.3313996121396956,15711,OF
131,Trevor Story,BOS,401.87273999999996,3.359297333444788,12564,SS
132,Jonathan India,CIN,401.68295,3.3578512016718913,21523,2B
133,Byron Buxton,MIN,401.64952,3.6389207798796837,14161,DH
134,Zach Neto,LAA,401.44736,3.030889378793827,31347,SS
135,Brandon Drury,LAA,400.0990299999999,3.1518503084109932,11615,1B/2B
136,Salvador Perez,KCR,400.03315399999997,3.040574271272755,7304,C/1B
137,Max Kepler,MIN,398.65912,3.1428096619576182,12144,OF
138,Sal Frelick,MIL,397.70895,2.9856460246083167,29622,OF
