#,Name,MLBAMID,RazzballID,FangraphsID,NFBCID,Team,ESPN_POS,YAHOO_POS,Last,First
1,A.J. Alexy,669935,669935,22343,11175,MIN,RP,RP,Alexy,A.J.
2,A.J. Blubaugh,805123,805123,sa3020112,,HOU,SP,SP,Blubaugh,A.J.
3,A.J. Cole,595918,11467,11467,8722,FA,RP,RP,Cole,A.J.
4,A.J. Labas,669332,669332,sa3017638,,MIN,RP,RP,Labas,A.J.
5,A.J. Minter,621345,621345,18655,9734,ATL,RP,RP,Minter,A.J.
6,A.J. Puk,640462,640462,19343,9792,MIA,SP,SP,Puk,A.J.
7,A.J. Ramos,573109,8350,8350,,FA,RP,RP,Ramos,A.J.
8,A.J. Vukovich,691021,691021,sa3014525,11616,ARI,3B,3B,Vukovich,A.J.
9,Aaron Antonini,689577,689577,sa3010906,,STL,C,C,Antonini,Aaron
10,Aaron Ashby,676879,676879,23550,10372,MIL,SP,SP,Ashby,Aaron
11,Aaron Barrett,502578,11243,11243,8734,FA,RP,RP,Barrett,Aaron
12,Aaron Blair,594760,14934,14934,8930,FA,SP,SP,Blair,Aaron
13,Aaron Bracho,677570,677570,sa3010018,10117,CLE,2B,2B,Bracho,Aaron
14,Aaron Brooks,605156,12272,12272,8752,OAK,RP,RP,Brooks,Aaron
15,Aaron Brown,676345,676345,sa3017500,,HOU,SP,SP,Brown,Aaron
16,Aaron Bummer,607481,607481,16258,9713,ATL,RP,RP,Bummer,Aaron
17,Aaron Civale,650644,650644,19479,10640,TB,SP,SP,Civale,Aaron
18,Aaron Davenport,702126,702126,sa3017615,,CLE,SP,SP,Davenport,Aaron
19,Aaron Fletcher,667465,667465,22052,10872,FA,RP,RP,Fletcher,Aaron
20,Aaron Fossas,670579,670579,,10548,CIN,RP,RP,Fossas,Aaron
21,Aaron Haase,700412,700412,sa3017849,,DET,RP,RP,Haase,Aaron
22,Aaron Hernandez,669443,669443,sa3008599,,LAA,SP,SP,Hernandez,Aaron
23,Aaron Hicks,543305,5297,5297,7535,LAA,OF,OF,Hicks,Aaron
24,Aaron Holiday,701569,701569,sa3017937,,SD,RP,RP,Holiday,Aaron
25,Aaron Judge,592450,15640,15640,8956,NYY,OF,OF,Judge,Aaron
26,Aaron Leasher,669468,669468,sa3004701,,FA,RP,RP,Leasher,Aaron
27,Aaron Loup,571901,10343,10343,8339,FA,RP,RP,Loup,Aaron
28,Aaron McGarity,641849,641849,sa873280,,CHW,RP,RP,McGarity,Aaron
29,Aaron McKeithan,702463,702463,sa3016977,,STL,C,C,McKeithan,Aaron
30,Aaron Nola,605400,16149,16149,8961,PHI,SP,SP,Nola,Aaron
31,Aaron Northcraft,573062,573062,10218,8925,FA,RP,RP,Northcraft,Aaron
32,Aaron Ochsenbein,684604,684604,sa3011241,,LAD,RP,RP,Ochsenbein,Aaron
33,Aaron Palensky,695312,695312,sa3015077,,NYY,OF,OF,Palensky,Aaron
34,Aaron Perry,676215,676215,sa1055363,,FA,RP,RP,Perry,Aaron
35,Aaron Pinto,681259,681259,sa3006823,,FA,RP,RP,Pinto,Aaron
36,Aaron Rozek,702065,702065,sa3015224,,MIN,SP,SP,Rozek,Aaron
37,Aaron Rund,810921,810921,,,MIL,P,P,Rund,Aaron
38,Aaron Sabato,693306,693306,sa3014494,,MIN,1B,1B,Sabato,Aaron
39,Aaron Sanchez,592717,11490,11490,8719,FA,RP,RP,Sanchez,Aaron
40,Aaron Schunk,668845,668845,sa3009957,11079,COL,3B,3B,Schunk,Aaron
41,Aaron Shackelford,687823,687823,sa1169950,,PIT,3B,3B,Shackelford,Aaron
42,Aaron Shortridge,663336,663336,sa3006759,10912,PIT,SP,SP,Shortridge,Aaron
43,Aaron Slegers,642083,642083,15231,,FA,RP,RP,Slegers,Aaron
44,Aaron Whitefield,664334,664334,19938,11067,FA,OF,OF,Whitefield,Aaron
45,Aaron Zavala,701648,701648,sa3017665,,TEX,OF,OF,Zavala,Aaron
46,Abdias De La Cruz,703192,703192,sa3019401,,ARI,SS,SS,De La Cruz,Abdias
47,Abdiel Layer,676075,676075,sa3007291,,SF,SS,SS,Layer,Abdiel
48,Abdiel Mendoza,665959,665959,sa916829,,TOR,SP,SP,Mendoza,Abdiel
49,Abel Bastidas,694201,694201,sa3015709,,DET,SS,SS,Bastidas,Abel
50,Abel De Leon,800523,800523,sa3018585,,CHC,C,C,De Leon,Abel
51,Abel Lorenzo,806867,806867,sa3021831,,LAD,OF,OF,Lorenzo,Abel
52,Abelaldo Lopez,691445,691445,sa3015545,,FA,OF,OF,Lopez,Abelaldo
53,Abiezel Ramirez,672656,672656,sa3003282,,TOR,SS,SS,Ramirez,Abiezel
54,Abimelec Ortiz,694673,694673,sa3016926,,TEX,1B,1B,Ortiz,Abimelec
55,Abner Uribe,682842,682842,25327,11664,MIL,RP,RP,Uribe,Abner
56,Abraham Almonte,501659,5486,5486,8591,FA,OF,OF,Almonte,Abraham
57,Abraham Nunez,808041,808041,sa3021156,,CHW,OF,OF,Nunez,Abraham
58,Abraham Toro,647351,647351,19844,10001,OAK,3B,2B/3B,Toro,Abraham
59,Abrahan Gutierrez,670868,670868,sa3004263,10373,PIT,C,C,Gutierrez,Abrahan
60,Abrahan Ramirez,800254,800254,sa3018943,,NYY,2B,2B,Ramirez,Abrahan
61,Adael Amador,691182,691182,sa3014682,11965,COL,SS,SS,Amador,Adael
62,Adalberto Mondesi,609275,13769,13769,8665,FA,SS,SS,Mondesi,Adalberto
63,Adam Cimber,643256,643256,15288,10016,LAA,RP,RP,Cimber,Adam
64,Adam Conley,543045,14457,14457,,FA,RP,RP,Conley,Adam
65,Adam Crampton,686956,686956,sa3019944,,BAL,2B,2B,Crampton,Adam
66,Adam Duvall,594807,10950,10950,8829,FA,OF,OF,Duvall,Adam
67,Adam Eaton,594809,11205,11205,8399,FA,OF,OF,Eaton,Adam
68,Adam Engel,641553,15082,15082,9572,FA,OF,OF,Engel,Adam
69,Adam Frazier,624428,15223,15223,9387,KC,2B,2B/OF,Frazier,Adam
70,Adam Hackenberg,680753,680753,sa3017041,,CHW,C,C,Hackenberg,Adam
71,Adam Hall,647228,647228,sa3005077,10118,FA,SS,SS,Hall,Adam
72,Adam Haseley,656514,656514,19878,10119,FA,OF,OF,Haseley,Adam
73,Adam Hill,663597,663597,sa876313,,SEA,SP,SP,Hill,Adam
74,Adam Kerner,676301,676301,sa3014938,,FA,C,C,Kerner,Adam
75,Adam Kloffenstein,680572,680572,sa3008578,10120,STL,RP,RP,Kloffenstein,Adam
76,Adam Kolarek,592473,592473,10843,9699,LAA,RP,RP,Kolarek,Adam
77,Adam Laskey,669445,669445,sa3014851,,MIA,RP,RP,Laskey,Adam
78,Adam Leverett,687190,687190,sa1169991,,TB,SP,SP,Leverett,Adam
79,Adam Macko,671936,671936,sa3011555,,TOR,SP,SP,Macko,Adam
80,Adam Maier,683264,683264,,,ATL,P,P,Maier,Adam
81,Adam Mazur,800049,800049,sa3020815,,SD,SP,SP,Mazur,Adam
82,Adam Morgan,605388,12580,12580,9080,FA,RP,RP,Morgan,Adam
83,Adam Oller,670124,670124,20132,11306,CLE,SP,SP,Oller,Adam
84,Adam Ottavino,493603,1247,1247,7037,NYM,RP,RP,Ottavino,Adam
85,Adam Plutko,592644,15846,15846,9462,FA,RP,RP,Plutko,Adam
86,Adam Retzbach,806273,806273,sa3019946,,BAL,C,C,Retzbach,Adam
87,Adam Scott,681792,681792,sa3006826,,CLE,SP,SP,Scott,Adam
88,Adam Seminaris,694372,694372,sa3015010,10916,MIL,SP,SP,Seminaris,Adam
89,Adam Serwinowski,703445,703445,,,CIN,P,P,Serwinowski,Adam
90,Adam Shoemaker,692248,692248,sa3017888,,ATL,SP,SP,Shoemaker,Adam
91,Adam Stone,688636,688636,sa3020944,,NYY,RP,RP,Stone,Adam
92,Adam Wainwright,425794,2233,2233,4105,FA,SP,SP,Wainwright,Adam
93,Adam Warren,476589,9029,9029,8327,FA,RP,RP,Warren,Adam
94,Adam Wolf,663684,663684,sa3007587,,DET,SP,SP,Wolf,Adam
95,Adam Zebrowski,700845,700845,sa3017221,,ATL,C,C,Zebrowski,Adam
96,Adan Chacon,807960,807960,sa3021121,,COL,1B,1B,Chacon,Adan
97,Adanson Cruz,677620,677620,sa3005722,,FA,OF,OF,Cruz,Adanson
98,Adbert Alzolay,640470,640470,17859,9886,CHC,RP,RP,Alzolay,Adbert
99,Addison Barger,680718,680718,sa3006910,11596,TOR,SS,SS,Barger,Addison
100,Addison Russ,676754,676754,sa3004106,11022,FA,RP,RP,Russ,Addison
101,Adeiny Hechavarria,588751,10459,10459,,FA,2B,2B/3B,Hechavarria,Adeiny
102,Adel Dilone,693715,693715,sa3018798,,ATL,SP,SP,Dilone,Adel
103,Aderlin Rodriguez,573669,573669,sa511026,,FA,3B,3B,Rodriguez,Aderlin
104,Adinso Reyes,682632,682632,sa3008750,,DET,SS,SS,Reyes,Adinso
105,Adisyn Coffey,676249,676249,sa3014738,,CHW,RP,RP,Coffey,Adisyn
106,Adley Rutschman,668939,668939,26288,10704,BAL,C,C,Rutschman,Adley
107,Adolis Garcia,666969,666969,19287,9964,TEX,OF,OF,Garcia,Adolis
108,Adonis Medina,658431,658431,19903,10121,WSH,RP,RP,Medina,Adonis
109,Adrian Acosta,802015,802015,sa3018883,,LAA,SP,SP,Acosta,Adrian
110,Adrian Bello,808705,808705,sa3021303,,MIA,C,C,Bello,Adrian
111,Adrian Chaidez,686585,686585,sa3017417,,HOU,SP,SP,Chaidez,Adrian
112,Adrian De Horta,641506,641506,sa737857,10609,FA,SP,SP,De Horta,Adrian
113,Adrian Del Castillo,680728,680728,sa3016957,,ARI,C,C,Del Castillo,Adrian
114,Adrian Florencio,684876,684876,sa3010569,,PIT,SP,SP,Florencio,Adrian
115,Adrian Gil,808691,808691,sa3021856,,CHW,3B,3B,Gil,Adrian
116,Adrian Gonzalez,807824,807824,sa3022054,,NYY,3B,3B,Gonzalez,Adrian
117,Adrian Hernandez,681753,681753,sa3006177,,TOR,RP,RP,Hernandez,Adrian
118,Adrian Hernandez,677600,677600,sa3005487,10122,FA,OF,OF,Hernandez,Adrian
119,Adrian Houser,605288,12718,12718,9175,NYM,SP,SP,Houser,Adrian
120,Adrian Ibarra,808532,808532,sa3021283,,MIA,1B,1B,Ibarra,Adrian
121,Adrian Martinez,661309,661309,21023,11320,OAK,RP,RP,Martinez,Adrian
122,Adrian Meza,807977,807977,sa3021127,,TOR,SS,SS,Meza,Adrian
123,Adrian Morejon,670970,670970,20039,10123,SD,RP,RP,Morejon,Adrian
124,Adrian Ogando,702890,702890,sa3017617,,WSH,SP,SP,Ogando,Adrian
125,Adrian Perez,692023,692023,sa3016106,,SD,3B,3B,Perez,Adrian
126,Adrian Pinto,691437,691437,sa3015542,,TOR,2B,2B,Pinto,Adrian
127,Adrian Placencia,691269,691269,sa3014688,,LAA,SS,SS,Placencia,Adrian
128,Adrian Sampson,592716,13339,13339,9382,TEX,SP,SP,Sampson,Adrian
129,Adrian Santana,801269,801269,sa3018876,,CHC,RP,RP,Santana,Adrian
130,Adrian Santana,803745,803745,,,TB,,,Santana,Adrian
131,Adrian Sugastey,692368,692368,sa3015190,,SF,C,C,Sugastey,Adrian
132,Adriander Mejia,808337,808337,sa3021253,,BAL,C,C,Mejia,Adriander
133,Adriel Cuello,811231,811231,sa3021313,,TEX,SS,SS,Cuello,Adriel
134,Adriel Sotolongo,699084,699084,sa3015296,,FA,OF,OF,Sotolongo,Adriel
135,Aeverson Arteaga,692348,692348,sa3014707,,SF,SS,SS,Arteaga,Aeverson
136,Agnnel Escobar,800169,800169,sa3018463,,PHI,2B,2B,Escobar,Agnnel
137,Agustin Acosta,802528,802528,sa3018627,,LAD,OF,OF,Acosta,Agustin
138,Agustin Ramirez,682663,682663,sa3009276,,NYY,C,C,Ramirez,Agustin
139,Agustin Ruiz,672361,672361,sa3004149,10563,MIN,OF,OF,Ruiz,Agustin
140,Ahbram Liendo,699157,699157,sa3016173,,BOS,2B,2B,Liendo,Ahbram
141,Aidan Anderson,689379,689379,sa3011250,,TEX,RP,RP,Anderson,Aidan
142,Aidan Curry,695778,695778,sa3015334,,TEX,SP,SP,Curry,Aidan
143,Aidan Miller,805795,805795,,,PHI,,,Miller,Aidan
144,Aidan Smith,806223,806223,,,SEA,,,Smith,Aidan
145,Aiverson Rodriguez,682864,682864,sa3008824,,COL,SS,SS,Rodriguez,Aiverson
146,AJ Graffanino,664690,664690,sa3008030,10533,FA,SS,SS,Graffanino,AJ
147,AJ Lewis,674630,674630,sa3015014,,COL,1B,1B,Lewis,AJ
148,AJ Pollock,572041,9256,9256,7681,FA,OF,OF,Pollock,AJ
149,AJ Smith-Shawver,700363,700363,29960,11774,ATL,SP,SP,Smith-Shawver,AJ
150,Akeem Bostick,641384,641384,15979,11244,FA,RP,RP,Bostick,Akeem
151,Akil Baddoo,668731,668731,22168,10124,DET,OF,OF,Baddoo,Akil
152,Alain Camou,800126,800126,sa3018450,,SD,2B,2B,Camou,Alain
153,Alan Busenitz,641427,641427,15239,9685,CIN,RP,RP,Busenitz,Alan
154,Alan Mejia,683013,683013,sa3008420,,FA,OF,OF,Mejia,Alan
155,Alan Perdomo,679595,679595,sa3006399,,NYM,RP,RP,Perdomo,Alan
156,Alan Rangel,660604,660604,sa877578,,LAA,SP,SP,Rangel,Alan
157,Alan Roden,702176,702176,sa3020212,,TOR,OF,OF,Roden,Alan
158,Alan Strong,681841,681841,sa3006768,,FA,SP,SP,Strong,Alan
159,Alan Trejo,676701,676701,20056,11036,COL,2B,2B/SS/ 3B,Trejo,Alan
160,Alaska Abney,685095,685095,sa3017308,,CLE,RP,RP,Abney,Alaska
161,Albert Abreu,656061,656061,17485,9895,FA,RP,RP,Abreu,Albert
162,Albert Alberto,808293,808293,sa3021616,,CHW,OF,OF,Alberto,Albert
163,Albert Almora Jr.,546991,14109,14109,8639,ARI,OF,OF,Almora Jr.,Albert
164,Albert Carpio,800330,800330,sa3018518,,ARI,SS,SS,Carpio,Albert
165,Albert Fabian,683546,683546,sa3008888,,SD,OF,OF,Fabian,Albert
166,Albert Feliz,682765,682765,sa3008799,,BOS,OF,OF,Feliz,Albert
167,Albert Gutierrez,808212,808212,sa3021200,,CHC,1B,1B,Gutierrez,Albert
168,Albert Lee,663529,663529,sa3010146,,FA,SS,SS,Lee,Albert
169,Albert Suarez,544150,544150,,9358,BAL,P,P,Suarez,Albert
170,Alberto Baldonado,593604,593604,11812,11277,FA,RP,RP,Baldonado,Alberto
171,Alberto Hernandez,800516,800516,sa3018582,,HOU,SS,SS,Hernandez,Alberto
172,Alberto Mota,699215,699215,sa3016712,,TEX,RP,RP,Mota,Alberto
173,Alberto Rios,814362,814362,sa3022441,,LAA,OF,OF,Rios,Alberto
174,Alberto Rodriguez,679754,679754,sa3005603,,SEA,OF,OF,Rodriguez,Alberto
175,Albertson Asigen,692694,692694,sa3016639,,BOS,OF,OF,Asigen,Albertson
176,Albertus Barber,673766,673766,sa1172728,,FA,RP,RP,Barber,Albertus
177,Alcides Escobar,444876,6310,6310,6904,FA,SS,SS,Escobar,Alcides
178,Aldalay Kolokie,813985,813985,sa3021321,,COL,OF,OF,Kolokie,Aldalay
179,Aldenis Sanchez,672479,672479,sa3003222,,FA,OF,OF,Sanchez,Aldenis
180,Aldo Ramirez,2022680048,2022680048,,,WSH,P,P,Ramirez,Aldo
181,Aldrem Corredor,625506,625506,sa736852,,PHI,OF,OF,Corredor,Aldrem
182,Aldrich De Jongh,680884,680884,sa3007974,,FA,OF,OF,De Jongh,Aldrich
183,Aldrin Batista,702881,702881,sa3019119,,CHW,SP,SP,Batista,Aldrin
184,Aldrin Lucas,691492,691492,sa3015554,,KC,C,C,Lucas,Aldrin
185,Aldry Acosta,672755,672755,sa3002794,,FA,RP,RP,Acosta,Aldry
186,Alec Baker,696508,696508,,,ARI,P,P,Baker,Alec
187,Alec Barger,681897,681897,sa3010566,,COL,SP,SP,Barger,Alec
188,Alec Bettinger,676424,676424,20312,11114,FA,RP,RP,Bettinger,Alec
189,Alec Bohm,664761,664761,21618,10125,PHI,1B/3B,1B/3B,Bohm,Alec
190,Alec Burleson,676475,676475,27615,11421,STL,OF,1B/OF,Burleson,Alec
191,Alec Gamboa,687941,687941,sa3011249,,LAD,SP,SP,Gamboa,Alec
192,Alec Marsh,679525,679525,27451,11144,KC,SP,SP,Marsh,Alec
193,Alec Mills,621219,13834,13834,9204,FA,SP,SP,Mills,Alec
194,Alec Sayre,805297,805297,sa3020283,,MIN,OF,OF,Sayre,Alec
195,Alec Willis,701650,701650,,,STL,P,P,Willis,Alec
196,Aledmys Diaz,649557,15937,15937,9269,OAK,SS/3B,2B/SS/ 3B,Diaz,Aledmys
197,Alejandro Gomez,702901,702901,sa3017618,,NYY,SP,SP,Gomez,Alejandro
198,Alejandro Hidalgo,691576,691576,sa3015151,,MIN,SP,SP,Hidalgo,Alejandro
199,Alejandro Kirk,672386,672386,22581,10851,TOR,C,C,Kirk,Alejandro
200,Alejandro Manzano,703835,703835,sa3019125,,OAK,SP,SP,Manzano,Alejandro
201,Alejandro Mateo,670376,670376,sa918495,,FA,RP,RP,Mateo,Alejandro
202,Alejandro Melean,678287,678287,sa3006815,,TOR,SP,SP,Melean,Alejandro
203,Alejandro Nunez,805168,805168,sa3018977,,HOU,SS,SS,Nunez,Alejandro
204,Alejandro Osuna,696030,696030,sa3015127,,TEX,OF,OF,Osuna,Alejandro
205,Alejandro Rios,800313,800313,sa3018511,,ARI,C,C,Rios,Alejandro
206,Alejo Lopez,664670,664670,21127,11230,ATL,2B,2B,Lopez,Alejo
207,Alek Jacob,689690,689690,29628,11824,SD,RP,RP,Jacob,Alek
208,Alek Manoah,666201,666201,26410,10854,TOR,SP,SP,Manoah,Alek
209,Alek Thomas,677950,677950,23792,10126,ARI,OF,OF,Thomas,Alek
210,Alerick Soularie,669442,669442,sa3014436,,MIN,2B,2B,Soularie,Alerick
211,Alessander De La Cruz,807987,807987,sa3021132,,COL,OF,OF,De La Cruz,Alessander
212,Alex Binelas,681323,681323,sa3017044,,BOS,3B,3B,Binelas,Alex
213,Alex Blandino,607468,16271,16271,9905,CIN,1B,1B,Blandino,Alex
214,Alex Bregman,608324,17678,17678,9415,HOU,3B,3B,Bregman,Alex
215,Alex Bustamante,806628,806628,sa3020631,,NYY,RP,RP,Bustamante,Alex
216,Alex Call,669743,669743,19296,10520,WSH,OF,OF,Call,Alex
217,Alex Claudio,592222,12890,12890,8868,FA,RP,RP,Claudio,Alex
218,Alex Clemmey,806046,806046,,,CLE,P,P,Clemmey,Alex
219,Alex Cobb,502171,6562,6562,8058,SF,SP,SP,Cobb,Alex
220,Alex Colome,517008,6661,6661,8505,FA,RP,RP,Colome,Alex
221,Alex Cook,702047,702047,sa3020879,,TB,RP,RP,Cook,Alex
222,Alex Cornwell,676498,676498,sa3017501,,STL,SP,SP,Cornwell,Alex
223,Alex De Goti,621008,621008,19477,10995,TEX,2B,2B,De Goti,Alex
224,Alex De Jesus,682942,682942,sa3008842,,TOR,SS,SS,De Jesus,Alex
225,Alex Dickerson,543105,12649,12649,8701,FA,OF,OF,Dickerson,Alex
226,Alex Faedo,656412,656412,19874,10127,DET,RP,RP,Faedo,Alex
227,Alex Freeland,690976,690976,sa3020653,,LAD,SS,SS,Freeland,Alex
228,Alex Hall,673064,673064,sa3007023,,FA,C,C,Hall,Alex
229,Alex Hoppe,695380,695380,sa3020836,,BOS,RP,RP,Hoppe,Alex
230,Alex Iadisernia,805280,805280,sa3019867,,STL,OF,OF,Iadisernia,Alex
231,Alex Isola,684576,684576,sa1170516,,MIN,C,C,Isola,Alex
232,Alex Jackson,656577,656577,17276,8963,TB,C,C,Jackson,Alex
233,Alex Kirilloff,666135,666135,20325,10128,MIN,1B/OF,1B/OF,Kirilloff,Alex
234,Alex Lange,656638,656638,19883,11062,DET,RP,RP,Lange,Alex
235,Alex Mauricio,676089,676089,sa3004337,,NYY,RP,RP,Mauricio,Alex
236,Alex McFarlane,686934,686934,sa3020633,,PHI,SP,SP,McFarlane,Alex
237,Alex McGarry,685127,685127,sa3015015,,CIN,1B,1B,McGarry,Alex
238,Alex McKenna,665173,665173,sa3008003,,FA,OF,OF,McKenna,Alex
239,Alex McRae,656725,656725,16317,10055,FA,RP,RP,McRae,Alex
240,Alex Mooney,695612,695612,,,CLE,,,Mooney,Alex
241,Alex Pham,702129,702129,sa3017550,,BAL,SP,SP,Pham,Alex
242,Alex Phillips,641974,641974,sa3008595,,FA,RP,RP,Phillips,Alex
243,Alex Ramirez,691267,691267,sa3014695,,NYM,OF,OF,Ramirez,Alex
244,Alex Rao,702102,702102,sa3020595,,PHI,SP,SP,Rao,Alex
245,Alex Reyes,621052,15015,15015,8973,FA,RP,RP,Reyes,Alex
246,Alex Santos II,691012,691012,sa3014684,,HOU,SP,SP,Santos II,Alex
247,Alex Scherff,669085,669085,sa3005397,,FA,RP,RP,Scherff,Alex
248,Alex Segal,669393,669393,sa919036,,FA,RP,RP,Segal,Alex
249,Alex Speas,666208,666208,21859,10985,CHW,RP,RP,Speas,Alex
250,Alex Verdugo,657077,657077,17027,9757,NYY,OF,OF,Verdugo,Alex
251,Alex Vesia,681911,681911,25007,10784,LAD,RP,RP,Vesia,Alex
252,Alex Wells,649144,649144,19845,,FA,RP,RP,Wells,Alex
253,Alex Wood,622072,13781,13781,8506,OAK,SP,SP,Wood,Alex
254,Alex Young,622065,622065,18333,10644,CIN,RP,RP,Young,Alex
255,Alexander Albertus,800316,800316,sa3018950,,LAD,SS,SS,Albertus,Alexander
256,Alexander Benua,699229,699229,sa3015817,,ARI,OF,OF,Benua,Alexander
257,Alexander Campos,672628,672628,sa3002852,,FA,SS,SS,Campos,Alexander
258,Alexander Canario,672744,672744,22842,10129,CHC,OF,OF,Canario,Alexander
259,Alexander Cornielle,529017,529017,sa3011779,,MIL,SP,SP,Cornielle,Alexander
260,Alexander Destino,656369,656369,sa3004031,,FA,OF,OF,Destino,Alexander
261,Alexander Garcia,808517,808517,sa3021279,,SEA,SS,SS,Garcia,Alexander
262,Alexander Garcia,808017,808017,sa3021142,,SD,OF,OF,Garcia,Alexander
263,Alexander Martinez,800329,800329,,,ATL,C,C,Martinez,Alexander
264,Alexander Mojica,683549,683549,sa3008889,,PIT,3B,3B,Mojica,Alexander
265,Alexander Ovalles,678900,678900,sa3005781,,CIN,OF,OF,Ovalles,Alexander
266,Alexander Palma,620444,620444,sa739541,,FA,OF,OF,Palma,Alexander
267,Alexander Perez,691623,691623,sa3015572,,FA,2B,2B,Perez,Alexander
268,Alexander Ramirez,682643,682643,sa3008757,10130,LAA,OF,OF,Ramirez,Alexander
269,Alexander Suarez,683665,683665,sa3008915,,SF,OF,OF,Suarez,Alexander
270,Alexander Vallecillo,699132,699132,sa3016034,,MIL,SP,SP,Vallecillo,Alexander
271,Alexander Vargas,683061,683061,sa3008851,10375,NYY,SS,SS,Vargas,Alexander
272,Alexander Vizcaino,669805,669805,sa920272,10944,FA,SP,SP,Vizcaino,Alexander
273,Alexfri Planez,678413,678413,sa3005515,,CLE,OF,OF,Planez,Alexfri
274,Alexis Diaz,664747,664747,21132,11350,CIN,RP,RP,Diaz,Alexis
275,Alexis Feliz,692415,692415,sa3016114,,FA,2B,2B,Feliz,Alexis
276,Alexis Hernandez,692562,692562,sa3015642,,TOR,OF,OF,Hernandez,Alexis
277,Alexis Liebano,806536,806536,sa3019885,,ARI,RP,RP,Liebano,Alexis
278,Alfonso Rivas,663845,663845,21560,11272,STL,1B,1B,Rivas,Alfonso
279,Alfonzo Martinez,808273,808273,sa3021225,,TB,OF,OF,Martinez,Alfonzo
280,Alfredo Alcantara,807643,807643,sa3022184,,CIN,SS,SS,Alcantara,Alfredo
281,Alfredo Duno,806957,806957,sa3021066,,CIN,DH,DH,Duno,Alfredo
282,Alfredo Rodriguez,808233,808233,sa3021207,,TB,C,C,Rodriguez,Alfredo
283,Alfredo Rodriguez,670895,670895,sa922180,,FA,SS,SS,Rodriguez,Alfredo
284,Alfredo Velasquez,800414,800414,sa3018556,,BAL,2B,2B,Velasquez,Alfredo
285,Alfredo Zarraga,700287,700287,sa3018276,,TB,RP,RP,Zarraga,Alfredo
286,Ali Sanchez,645305,645305,18551,10752,PIT,C,C,Sanchez,Ali
287,Alika Williams,675961,675961,27604,11833,PIT,SS,SS,Williams,Alika
288,Alimber Santa,695001,695001,sa3015478,,HOU,SP,SP,Santa,Alimber
289,Alison Quintero,672355,672355,sa3004266,,FA,C,C,Quintero,Alison
290,Allan Berrios,668936,668936,sa3011153,,FA,C,C,Berrios,Allan
291,Allan Castro,691369,691369,sa3016084,,BOS,OF,OF,Castro,Allan
292,Allan Cerda,678323,678323,sa3005504,,CIN,OF,OF,Cerda,Allan
293,Allan Saathoff,802697,802697,sa3020711,,SEA,RP,RP,Saathoff,Allan
294,Allan Winans,642216,642216,21238,11829,ATL,RP,RP,Winans,Allan
295,Alonzo Tredwell,696280,696280,,,HOU,P,P,Tredwell,Alonzo
296,Alsander Womack,703920,703920,sa3018214,,CHW,2B,2B,Womack,Alsander
297,Alvaro Gonzalez,677572,677572,sa3005715,,DET,SS,SS,Gonzalez,Alvaro
298,Alvaro Mejias,699154,699154,sa3017657,,BOS,RP,RP,Mejias,Alvaro
299,Alvin Guzman,682630,682630,sa3008748,10376,ARI,OF,OF,Guzman,Alvin
300,Amador Arias,672457,672457,sa3003216,,FA,SS,SS,Arias,Amador
301,Ambioris Tavarez,694222,694222,sa3019895,,ATL,SS,SS,Tavarez,Ambioris
302,Amed Rosario,642708,642708,15518,9500,TB,2B/SS,2B/SS,Rosario,Amed
303,Amell Brazoban,683464,683464,sa3008869,,FA,OF,OF,Brazoban,Amell
304,Amilcar Chirinos,702847,702847,sa3017149,,HOU,SP,SP,Chirinos,Amilcar
305,Amir Garrett,607237,14375,14375,9253,SF,RP,RP,Garrett,Amir
306,Amos Willingham,686294,686294,26128,11818,WSH,RP,RP,Willingham,Amos
307,Anderdson Rojas,699232,699232,sa3015818,,ARI,OF,OF,Rojas,Anderdson
308,Anderson De Los Santos,698945,698945,sa3015747,,BAL,3B,3B,De Los Santos,Anderson
309,Anderson Espinoza,659262,18593,18593,10131,FA,RP,RP,Espinoza,Anderson
310,Anderson Machado,698999,698999,sa3015765,,OAK,3B,3B,Machado,Anderson
311,Anderson Munoz,674468,674468,sa3007840,,NYY,RP,RP,Munoz,Anderson
312,Anderson Paulino,678255,678255,sa3007991,,KC,SP,SP,Paulino,Anderson
313,Anderson Pilar,666768,666768,sa917899,,MIA,SP,SP,Pilar,Anderson
314,Anderson Sanchez,700325,700325,sa3015858,,FA,OF,OF,Sanchez,Anderson
315,Anderson Severino,644429,644429,20582,11303,FA,RP,RP,Severino,Anderson
316,Andre Granillo,701552,701552,sa3016913,,STL,RP,RP,Granillo,Andre
317,Andre Jackson,656578,656578,21298,11056,FA,RP,RP,Jackson,Andre
318,Andre Lipcius,686531,686531,25822,11673,LAD,3B,3B,Lipcius,Andre
319,Andre Pallante,669467,669467,26108,11442,STL,RP,RP,Pallante,Andre
320,Andre Scrubb,668687,668687,20329,11005,NYM,RP,RP,Scrubb,Andre
321,Andrelton Simmons,592743,10847,10847,8305,FA,DH,2B/SS,Simmons,Andrelton
322,Andres Alvarez,687019,687019,sa3010710,,PIT,SS,SS,Alvarez,Andres
323,Andres Angulo,660437,660437,sa872806,,FA,C,C,Angulo,Andres
324,Andres Bonolis,805740,805740,sa3019639,,CHC,OF,OF,Bonolis,Andres
325,Andres Chaparro,665953,665953,sa916976,11780,ARI,3B,3B,Chaparro,Andres
326,Andres Gimenez,665926,665926,19950,10133,CLE,2B,2B,Gimenez,Andres
