#,Name,MLBAMID,RazzballID,FangraphsID,NFBCID,Team,ESPN_POS,YAHOO_POS,Last,First
1480,Colton Shaver,656953,656953,sa915847,10996,FA,3B,3B,Shaver,Colton
1481,Colton Welker,666213,666213,19961,10168,FA,3B,3B,Welker,Colton
1482,Conner Capel,668843,668843,19983,11503,CIN,OF,OF,Capel,Conner
1483,Conner Greene,641632,16455,16455,9881,FA,RP,RP,Greene,Conner
1484,Conner Loeprich,681963,681963,sa3006986,,BAL,SP,SP,Loeprich,Conner
1485,Conner Menez,669214,669214,19199,10651,FA,RP,RP,Menez,Conner
1486,Connor Blair,685278,685278,sa3011382,,FA,OF,OF,Blair,Connor
1487,Connor Brogdon,641401,641401,21205,11019,PHI,RP,RP,Brogdon,Connor
1488,Connor Butler,701563,701563,sa3021727,,BOS,RP,RP,Butler,Connor
1489,Connor Cannon,669070,669070,sa3010010,,SF,1B,1B,Cannon,Connor
1490,Connor Cooke,701566,701566,sa3017822,,TOR,RP,RP,Cooke,Connor
1491,Connor Curlis,682029,682029,sa3006707,,CIN,SP,SP,Curlis,Connor
1492,Connor Gillispie,687362,687362,sa1169801,,CLE,SP,SP,Gillispie,Connor
1493,Connor Grey,670119,670119,sa918420,,FA,SP,SP,Grey,Connor
1494,Connor Holden,801127,801127,sa3020401,,DET,RP,RP,Holden,Connor
1495,Connor Hollis,667442,667442,sa3007870,,SD,2B,2B,Hollis,Connor
1496,Connor Hoover,676803,676803,sa3004061,,FA,2B,2B,Hoover,Connor
1497,Connor Joe,656582,656582,16572,10517,PIT,1B/OF,1B/OF,Joe,Connor
1498,Connor Johnstone,641733,641733,sa3004190,,FA,SP,SP,Johnstone,Connor
1499,Connor Jones,640453,640453,sa738697,,FA,SP,SP,Jones,Connor
1500,Connor Kaiser,663731,663731,21535,11813,COL,SS,SS,Kaiser,Connor
1501,Connor Kokx,701634,701634,sa3017735,,CLE,OF,OF,Kokx,Connor
1502,Connor Lunn,674086,674086,sa3011189,,STL,SP,SP,Lunn,Connor
1503,Connor Marabell,664088,664088,sa858026,,FA,OF,OF,Marabell,Connor
1504,Connor McCullough,681410,681410,sa3020603,,CHW,SP,SP,McCullough,Connor
1505,Connor Noland,690939,690939,sa3020834,,CHC,SP,SP,Noland,Connor
1506,Connor Norby,681393,681393,sa3017019,11603,BAL,2B,2B,Norby,Connor
1507,Connor O’Halloran,683354,683354,,,TOR,P,P,O’Halloran,Connor
1508,Connor Overton,656818,656818,18376,11260,CIN,SP,SP,Overton,Connor
1509,Connor Pavolony,680935,680935,sa3017156,,BAL,C,C,Pavolony,Connor
1510,Connor Phillips,683175,683175,27649,11855,CIN,SP,SP,Phillips,Connor
1511,Connor Prielipp,687570,687570,,,MIN,P,P,Prielipp,Connor
1512,Connor Sadzeck,592712,13483,13483,9241,PIT,RP,RP,Sadzeck,Connor
1513,Connor Scott,669002,669002,sa3008080,10169,PIT,OF,OF,Scott,Connor
1514,Connor Seabold,657756,657756,19695,11023,FA,SP,SP,Seabold,Connor
1515,Connor Sechler,680110,680110,sa3015145,,TEX,RP,RP,Sechler,Connor
1516,Connor Staine,688422,688422,sa3020739,,COL,SP,SP,Staine,Connor
1517,Connor Thomas,671162,671162,sa3010784,11430,STL,RP,RP,Thomas,Connor
1518,Connor Van Scoyoc,681854,681854,sa3010243,,COL,SP,SP,Van Scoyoc,Connor
1519,Connor Wong,657136,657136,19896,10937,BOS,C,C,Wong,Connor
1520,Conor Grammes,682202,682202,sa3011651,,ARI,SP,SP,Grammes,Conor
1521,Conor Larkin,680212,680212,sa3018092,,TOR,RP,RP,Larkin,Conor
1522,Cooper Benson,683148,683148,sa3019457,,TOR,RP,RP,Benson,Cooper
1523,Cooper Bowman,688682,688682,sa3016966,,OAK,2B,2B,Bowman,Cooper
1524,Cooper Criswell,681867,681867,24975,11270,BOS,RP,RP,Criswell,Cooper
1525,Cooper Hjerpe,687309,687309,sa3020736,,STL,SP,SP,Hjerpe,Cooper
1526,Cooper Hummel,669450,669450,19458,11332,SF,OF,C/OF,Hummel,Cooper
1527,Cooper Ingle,694876,694876,,,CLE,,,Ingle,Cooper
1528,Cooper Johnson,666194,666194,sa3010584,,TEX,C,C,Johnson,Cooper
1529,Cooper Kinney,695692,695692,sa3017793,,TB,2B,2B,Kinney,Cooper
1530,Cooper Pratt,806198,806198,,,MIL,,,Pratt,Cooper
1531,Cooper Uhl,687013,687013,,,OAK,C,C,Uhl,Cooper
1532,Corbin Burnes,669203,669203,19361,9800,BAL,SP,SP,Burnes,Corbin
1533,Corbin Carroll,682998,682998,25878,11025,ARI,OF,OF,Carroll,Corbin
1534,Corbin Martin,656686,656686,19884,10170,ARI,RP,RP,Martin,Corbin
1535,Corey Dickerson,572816,10762,10762,8526,FA,OF,OF,Dickerson,Corey
1536,Corey Joyce,687144,687144,sa3010596,,DET,2B,2B,Joyce,Corey
1537,Corey Julks,667452,667452,20311,11604,HOU,OF,OF,Julks,Corey
1538,Corey Kluber,446372,2429,2429,8161,FA,SP,SP,Kluber,Corey
1539,Corey Knebel,608349,15010,15010,8795,CHW,RP,RP,Knebel,Corey
1540,Corey Oswalt,621261,621261,13677,9873,FA,RP,RP,Oswalt,Corey
1541,Corey Ray,641999,641999,19170,10171,FA,OF,OF,Ray,Corey
1542,Corey Rosier,681468,681468,sa3016961,,BOS,OF,OF,Rosier,Corey
1543,Corey Seager,608369,13624,13624,8668,TEX,SS,SS,Seager,Corey
1544,Cornelius Randolph,663524,663524,sa874241,,FA,OF,OF,Randolph,Cornelius
1545,Cortland Lawson,687751,687751,sa3020202,,WSH,SS,SS,Lawson,Cortland
1546,Cory Abbott,676265,676265,20277,10790,SEA,SP,SP,Abbott,Cory
1547,Cory Acton,680703,680703,sa3019887,,FA,2B,2B,Acton,Cory
1548,Cory Lewis,675375,675375,sa3020702,,MIN,SP,SP,Lewis,Cory
1549,Cory Rasmus,474284,2413,,8492,TB,RP,RP,Rasmus,Cory
1550,Cory Spangenberg,605486,12294,12294,8218,FA,2B,2B/3B,Spangenberg,Cory
