,Name,Pos,FV,Age,ETA,Proj Team,PlayerId,Org
211,Nate Lavender,SIRP,35+,24.1444444,2024.0,,sa3017917,NYM
219,Max Kranick,SIRP,35+,26.6416666,2024.0,,22175,NYM
253,Keider Montero,SP,35+,23.6833333,2024.0,,sa3002956,DET
274,Trei Cruz,CF,35+,25.6861111,2024.0,,sa3014420,DET
286,Devin Sweet,SIRP,35+,27.5166666,2024.0,,25348,DET
315,Harold Chirino,SIRP,35+,26.1666666,2024.0,,sa917637,MIL
327,Carlos Narvaez,C,35+,25.2944444,2024.0,,sa916966,NYY
338,Clayton Andrews,SIRP,35+,27.1888888,2024.0,,23631,NYY
339,Matt Krook,MIRP,35+,29.3916666,2024.0,,19315,BAL
341,Bryan Hudson,SIRP,35+,26.8444444,2024.0,,19924,MIL
346,Juan Morillo,SIRP,35+,24.9805555,2024.0,,sa917772,LAD
112,Cole Paplham,SIRP,35+,23.9805555,2025.0,,sa3020749,SDP
114,Garrett Hawkins,SP,35+,24.0888888,2025.0,,sa3017383,SDP
260,Dylan Smith,SP,35+,23.7888888,2025.0,,sa3018113,DET
266,Griff McGarry,SIRP,35+,24.7611111,2025.0,,sa3017130,PHI
267,Gage Workman,SS,35+,24.3833333,2025.0,,sa3014441,DET
281,Alex De Jesus,3B,35+,21.9722222,2025.0,,sa3008842,TOR
292,RJ Petit,SIRP,35+,24.4694444,2025.0,,sa3017848,DET
293,Hayden Juenger,SIRP,35+,23.5916666,2025.0,,sa3017103,TOR
304,Brendan Beck,SP,35+,25.4333333,2025.0,,sa3020680,NYY
316,Adrian Pinto,CF,35+,21.4722222,2025.0,,sa3015542,TOR
319,Carlos D. Rodriguez,CF,35+,23.2638888,2025.0,,sa3005478,MIL
323,Eduardo Garcia,SS,35+,21.6722222,2025.0,,sa3008751,MIL
336,Austin Gauthier,2B,35+,24.8472222,2025.0,,sa3017121,LAD
345,Ben Casparius,MIRP,35+,25.0861111,2025.0,,sa3017886,LAD
74,Si-hwan Roh,3B,35+,23.1138888,2026.0,,kr3012734,
77,Woo-young Jung,SIRP,35+,24.4027777,2026.0,,kr3012714,
83,Carter Stewart,SIRP,35+,24.2,2026.0,,,
247,Jean Cabrera,SP,35+,22.3944444,2026.0,,sa3015433,PHI
254,Samuel Aldegheri,SP,35+,22.5083333,2026.0,,sa3015152,PHI
268,Tanner McDougal,SP,35+,20.9416666,2026.0,,sa3017471,CHW
273,George Klassen,SIRP,35+,22.1277777,2026.0,,,PHI
282,Maximo Martinez,SP,35+,19.725,2026.0,,sa3016026,CHW
287,Damiano Palmegiani,2B,35+,24.1333333,2026.0,,sa3017326,TOR
288,Eric Adler,SIRP,35+,23.4166666,2026.0,,sa3020592,CHW
298,Yosber Sanchez,SIRP,35+,22.8055555,2026.0,,sa3011636,DET
306,Will Rudy,SP,35+,22.8472222,2026.0,,sa3020893,MIL
317,Ben Rice,DH,35+,25.0555555,2026.0,,sa3016974,NYY
324,Jordarlin Mendoza,SIRP,35+,20.3277777,2026.0,,sa3017321,NYY
330,Alexander Vargas,SS,35+,22.3694444,2026.0,,sa3008851,NYY
333,Wyatt Crowell,SP,35+,22.4138888,2026.0,,,LAD
337,Mike Boeve,3B,35+,21.8527777,2026.0,,sa3022658,MIL
342,Jose Rodriguez,SP,35+,22.65,2026.0,,sa3015437,LAD
343,Justin King,SIRP,35+,26.2305555,2026.0,,sa3018278,MIL
347,Lucas Wepf,SIRP,35+,24.2194444,2026.0,,sa3020704,LAD
348,Dylan Campbell,RF,35+,21.6944444,2026.0,,sa3022751,LAD
349,Madison Jeffrey,SIRP,35+,23.9944444,2026.0,,sa3018206,LAD
72,Jo Hsi Hsu,SIRP,35+,23.2027777,2027.0,,,
84,Ren Mukunoki,MIRP,35+,23.9777777,2027.0,,,
240,Gabriel Rincones Jr.,LF,35+,23.025,2027.0,,sa3020758,PHI
261,Wen Hui Pan,SIRP,35+,21.4805555,2027.0,,sa3020878,PHI
299,Fernando Perez,SP,35+,20.0833333,2027.0,,sa3018826,TOR
303,Aneudi Escanio,3B,35+,19.2916666,2027.0,,sa3019094,TOR
309,Luis Serna,SP,35+,19.6444444,2027.0,,sa3016528,NYY
332,Rafael Flores,C,35+,23.3472222,2027.0,,sa3020243,NYY
340,Chris Campos,SP,35+,23.5805555,2027.0,,sa3020396,LAD
344,Alex Freeland,SS,35+,22.55,2027.0,,sa3020653,LAD
350,Jesus Galiz,C,35+,20.2583333,2027.0,,sa3015700,LAD
75,Eui Lee Lee,SP,35+,21.5777777,2028.0,,kr3014756,
233,Devin Saltiban,SS,35+,19.0777777,2028.0,,sa3022827,PHI
275,Javier Mogollon,2B,35+,18.3638888,2028.0,,sa3021855,CHW
308,Sam Shaw,2B,35+,18.0472222,2028.0,,sa3022889,TOR
312,Tucker Toman,3B,35+,20.3333333,2028.0,,sa3020132,TOR
321,Angel Benitez,SP,35+,20.5055555,2028.0,,sa3019118,NYY
334,Enniel Cortez,SP,35+,17.8638888,2028.0,,sa3021525,MIL
335,Jerson Alejandro,SP,35+,18.0527777,2028.0,,sa3021533,NYY
351,Alex Makarewich,SIRP,35+,22.1527777,2028.0,,,LAD
73,Dong Ju Moon,SP,35+,20.0583333,2029.0,,kr3018231,
80,Julian Tima,RF,35+,19.3027777,2029.0,,,
246,Enrique Jimenez,C,35+,18.3583333,2029.0,,sa3021091,DET
280,Carson Rucker,3B,35+,19.5666666,2029.0,,sa3022926,DET
302,Andrew Dunford,SP,35+,19.1861111,2029.0,,sa3023086,DET
311,Bishop Letson,SP,35+,19.4916666,2029.0,,,MIL
313,Gabriel Terrero,2B,35+,18.4611111,2029.0,,sa3021213,NYY
326,Pedro Ibarguen,CF,35+,17.6944444,2029.0,,sa3021254,MIL
329,Luiyin Alastre,3B,35+,18.4583333,2029.0,,sa3021210,MIL
79,Seo Hyeon Kim,SIRP,35+,19.3583333,2030.0,,kr3020919,
279,Jalvin Arias,RF,35+,17.4472222,2030.0,,,PHI
294,Eduardo Herrera,3B,35+,17.3861111,2030.0,,,CHW
307,Nestor Miranda,1B,35+,18.0527777,2030.0,,,DET
320,Franklin Rojas,C,35+,16.9777777,2030.0,,,TOR
331,Jesus Made,2B,35+,16.8444444,2030.0,,,MIL
